Price,Close,High,Low,Open,Volume,EMA12,EMA26,MACD_Line,Signal_Line,Histogram
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,,,,,
Datetime,,,,,,,,,,
2024-12-30 15:50:00+00:00,418.428009,419.730011,418.2999878,419.3349915,172181,420.3338704,420.1652945,0.168575924,0.520339296,-0.351763373
2024-12-30 15:51:00+00:00,418.7000122,419.2307129,418.1199951,418.428009,119353,420.0825076,420.0567551,0.025752549,0.421421947,-0.395669398
2024-12-30 15:52:00+00:00,418.3800049,418.7000122,417.3900146,418.7000122,157436,419.8205841,419.9325514,-0.111967233,0.314744111,-0.426711344
2024-12-30 15:53:00+00:00,418.1499939,418.4013977,417.8001099,418.3200073,85913,419.5635703,419.8005101,-0.236939822,0.204407324,-0.441347146
2024-12-30 15:54:00+00:00,418.0205994,418.4500122,417.7200928,418.1000061,98227,419.3261901,419.6686648,-0.342474721,0.095030915,-0.437505636
2024-12-30 15:55:00+00:00,418.859314,419,418,418,113521,419.254363,419.6087129,-0.354349905,0.005154751,-0.359504656
2024-12-30 15:56:00+00:00,419.3731079,419.9432983,418.8099976,418.980011,166835,419.2726315,419.5912607,-0.318629237,-0.059602046,-0.25902719
2024-12-30 15:57:00+00:00,419.1700134,419.7219849,418.8599854,419.2000122,83594,419.2568441,419.5600572,-0.303213125,-0.108324262,-0.194888863
2024-12-30 15:58:00+00:00,419.5549927,419.8503113,418.9100037,419.2200012,86292,419.3027131,419.559682,-0.256968959,-0.138053202,-0.118915758
2024-12-30 15:59:00+00:00,420.1698914,420.1698914,419.3254089,419.5,84951,419.4361251,419.6048827,-0.168757608,-0.144194083,-0.024563525
2024-12-30 16:00:00+00:00,419.8599854,420.1799011,419.5,420.019989,85446,419.5013344,419.6237792,-0.122444833,-0.139844233,0.0173994
2024-12-30 16:01:00+00:00,419.1400146,419.8900146,419.0100098,419.7900085,84229,419.4457467,419.5879448,-0.142198073,-0.140315001,-0.001883072
2024-12-30 16:02:00+00:00,419.2399902,419.7799988,418.8699951,419.1300049,80387,419.4140919,419.5621704,-0.148078507,-0.141867702,-0.006210805
2024-12-30 16:03:00+00:00,419.1600037,419.4700012,418.5,419.2200012,95550,419.3750014,419.5323803,-0.157378875,-0.144969937,-0.012408939
2024-12-30 16:04:00+00:00,419.5986938,419.9599915,419.0400085,419.1509094,84967,419.4094156,419.5372924,-0.127876769,-0.141551303,0.013674534
2024-12-30 16:05:00+00:00,420.0300903,420.1400146,419.3500061,419.75,74225,419.504904,419.5737959,-0.068891903,-0.127019423,0.05812752
